"##### TRANSLATION STRINGS #####" = "# # # # # # Strings DỊCH # # # #"

"##### Example: original string = your-translation-here #####" = "# # # # # Ví dụ : chuỗi ban đầu của bạn = - dịch - đây # # # # #"



"Recommended for large scale imports" = "Đề nghị cho nhập khẩu quy mô lớn"

"Recommended for small scale imports" = "Đề nghị cho nhập khẩu quy mô nhỏ"

"Recommended for synchronization with external services/applications" = "Đề nghị cho đồng bộ hóa với dịch vụ bên ngoài / ứng dụng"

"The default subject any message begins with when you select this template." = "Là chủ đề mặc định bất kỳ tin nhắn bắt đầu với khi bạn chọn mẫu này."

"The imported subscribers will be marked as already received these auto-responders, so these will not be sent to them." = "Các thuê bao nhập khẩu sẽ được đánh dấu là đã nhận được những phản ứng tự động , do đó, những sẽ không được gửi cho họ."

"This is your FreshBooks account name, found in the URL. IE: https://ACCOUNT.freshbooks.com. Please provide just the account name, and NOT the URL." = "Đây là tên tài khoản của bạn FreshBooks , được tìm thấy trong URL. IE : https://ACCOUNT.freshbooks.com . Vui lòng cung cấp chỉ là tên tài khoản , và KHÔNG URL ."

"This is your unique authentication token, which you are provided on the FreshBooks API page. In Freshbooks, go to My Account | FreshBooks API." = "Đây là dấu hiệu xác thực duy nhất của bạn , mà bạn được cung cấp trên trang FreshBooks API. Trong Freshbooks , vào Tài khoản của tôi | FreshBooks API."

"This will mirror Twitter authentication from this list to all lists, meaning all mailings will update to this Twitter account" = "Điều này sẽ phản ánh Twitter xác thực từ danh sách này cho tất cả các danh sách , có nghĩa là tất cả các thư sẽ cập nhật vào tài khoản Twitter này"

"To generate your API key, log into Zoho CRM, then go to Setup | Crm API Key | Generate Now" = "Để tạo ra khóa API của bạn , đăng nhập vào Zoho CRM , sau đó đi đến Setup | CRM API Key | Tạo Bây giờ"

"When this option is checked the last campaign you sent will be sent to each subscriber as they are imported." = "Khi tùy chọn này được kiểm tra chiến dịch cuối cùng bạn gửi sẽ được gửi đến mỗi thuê bao khi chúng được nhập khẩu."

"You can find your API token from the More | My Settings page in Capsule" = "Bạn có thể tìm thấy mã thông báo API của bạn từ khác | Cài đặt trang của tôi trong Capsule"

"You can obtain your security token by logging into Salesforce, and going to YOUR NAME | Setup | Reset your security token (under My Personal Information). You will then be emailed your security token." = "Bạn có thể lấy mã thông báo bảo mật của bạn bằng cách đăng nhập vào Salesforce , và sẽ TÊN CỦA BẠN | Cài đặt | Thiết lập lại mã thông báo bảo mật của bạn (theo Thông tin cá nhân của tôi ) . Sau đó bạn sẽ được gửi mã thông báo bảo mật của bạn ."

"Your Capsule application name, as it appears in the URL that you would access in a browser; IE: https://APP.capsulecrm.com. Just include the APP portion." = "Tên ứng dụng Capsule của bạn , vì nó xuất hiện trong URL mà bạn sẽ truy cập trong trình duyệt ; IE : https://APP.capsulecrm.com . Chỉ bao gồm các phần APP ."

"Your Zoho username or email address" = "Tên truy nhập Zoho của bạn hoặc địa chỉ email"

"Your authentication details are NOT saved on this server. You must re-enter them each time." = "Chi tiết xác thực của bạn là không được lưu trên máy chủ này. Bạn phải nhập lại mỗi lần."

"Your unique URL to your SugarCRM installation" = "URL duy nhất của bạn để cài đặt SugarCRM của bạn"







"##### 2011-02-23 #####" = "# # # # # # 2011-02-23 # # # #"



"After logging into Facebook, you will be asked to confirm that AwebDesk is allowed to update your Facebook account." = "Sau khi đăng nhập vào Facebook, bạn sẽ được yêu cầu xác nhận rằng AwebDesk được phép cập nhật tài khoản Facebook của bạn."

"Campaigns sent to this list will be auto-posted to Facebook with a link to your campaign web copy." = "Các chiến dịch gửi đến danh sách này sẽ được tự động đăng tải lên Facebook với một liên kết đến bản sao trang web chiến dịch của bạn ."

"Campaigns sent to this list will be auto-posted to Twitter with a link to your campaign web copy." = "Các chiến dịch gửi đến danh sách này sẽ được tự động đăng lên Twitter với một liên kết đến bản sao trang web chiến dịch của bạn ."







"##### 2011-03-17 #####" = "# # # # # # 2011-03-17 # # # #"



"You can generate your API token from the User Preferences page in Tactile CRM" = "Bạn có thể tạo mã thông báo API của bạn từ các trang Sở thích người dùng trong Tactile CRM"

"Your Tactile CRM application name, as it appears in the URL that you would access in a browser; IE: https://APP.tactilecrm.com. Just include the APP portion." = "Tên ứng dụng Tactile CRM của bạn , vì nó xuất hiện trong URL mà bạn sẽ truy cập trong trình duyệt ; IE : https://APP.tactilecrm.com . Chỉ bao gồm các phần APP ."







"##### 2011-04-06 #####" = "# # # # # # 2011-04-06 # # # #"



"The user who owns the list will determine which branding settings the list uses." = "Người sử dụng những người sở hữu trong danh sách sẽ xác định xây dựng thương hiệu thiết lập danh sách sử dụng ."







"##### 2011-07-13 #####" = "# # # # # # 2011-07-13 # # # #"



"This button will re-import all stock templates. PLEASE NOTE: This will only import global stock templates you are missing. If you already have some stock templates, but have modified them, it will NOT overwrite customizations made." = "Nút này sẽ tái nhập khẩu tất cả các mẫu chứng khoán. XIN LƯU Ý: Điều này sẽ chỉ nhập khẩu mẫu chứng khoán toàn cầu bạn đang thiếu. Nếu bạn đã có một số mẫu cổ phiếu , nhưng đã thay đổi họ, nó sẽ không ghi đè lên các tùy chỉnh thực hiện."

"This value will be used as a placeholder for this personalization field. If you enter 'MYTAG', then your content should have a placeholder %MYTAG% that would be replaced with a field value. NOTE: spaces will be replaced with a dash, and % characters are not allowed." = "Giá trị này sẽ được sử dụng như một giữ chỗ cho lĩnh vực cá nhân này . Nếu bạn nhập ' MYTAG ', sau đó nội dung của bạn nên có một trình giữ chỗ %MYTAG% sẽ được thay thế bằng một giá trị trường. Chú ý: không gian sẽ được thay thế bằng một dấu gạch ngang , và % ký tự không được phép."

"This will appear in your Analytics account as a Source of site visits. This is usually a Name of List" = "Này sẽ xuất hiện trong tài khoản Analytics như một nguồn thăm trang web. Điều này thường là một tên của Danh sách"

"You can generate your API token from the User Preferences page in batchbook CRM" = "Bạn có thể tạo mã thông báo API của bạn từ các trang Sở thích người dùng trong batchbook CRM"

"Your Batchbook account name, as it appears in the URL that you would access in a browser; IE: https://ACCOUNT.batchbook.com. Just include the ACCOUNT portion." = "Tên tài khoản Batchbook của bạn, như nó xuất hiện trong URL mà bạn sẽ truy cập trong trình duyệt ; IE : https://ACCOUNT.batchbook.com . Chỉ bao gồm các phần TÀI KHOẢN ."







"##### 2011-08-01 #####" = "# # # # # # 2011-08-01 # # # #"



"Include your Freshbooks account name" = "Bao gồm tên tài khoản của bạn Freshbooks"



"Recommended for synchronization with external database" = "Đề nghị cho đồng bộ hóa với cơ sở dữ liệu bên ngoài"
